include,fy,agency,administration,suboffice,program,summary,program_appr,mitigation,power,transportation_sector,industry,agriculture_sector,buildings,forestry,efficiency,clean_electricity,electrification,fuels,carbon_management,non_co2,land_sink,other,rd,piloting,deployment,fy21_omni,ira,iija,fy22_omni,fy23_omni,approps,one_time,tax_credit
Y,2021,USDA,Natural Resources and Environment,Forest Service,Stewardship Contracting,The Stewardship Contracting program restores forested lands and uses the forest products removed during restoration activities for products such as woody biomass for energy production and timber for construction.,30000,30000,9999,0,0,0,9999,9999,0,9999,0,0,0,0,9999,9999,0,0,30000,30000,0,0,0,0,30000,0,0
Y,2021,USDA,Natural Resources and Environment,Forest Service,Temporary Water Crossing Structures,"Establishes rental programs for portable skidder bridges, bridge mats, or other temporary water crossing structures, to minimize stream bed disturbance on non-Federal land and Federal land.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,USDA,Natural Resources and Environment,Forest Service,Timber Salvage Sales,"Facilitates the timely removal of timber damaged by fire, wind, insects, diseases, or other events to aid in maintaining healthy and resilient forests and ensuring community safety. The removal of dead or dying timber through timber sale contracts is a valuable tool to reduce the potential for catastrophic wildland fire and other hazards. Timber salvage also helps maximize the recovery of timber product value that would otherwise be lost. Through the collection of Knutson-Vandenberg Act funds, timber salvage sales can also provide for restoration of an affected area.",45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,USDA,Natural Resources and Environment,Forest Service,Urban and Community Forestry,"Optimizing the Nation’s urban forests to provide community benefits such as green jobs, clean air, relief from extreme heat, natural disasters, high energy costs, and flooding. Provides funding and technical support to state forestry agencies and non-profit partners to help communities maintain and protect about 12 billion trees.",31910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,USDA,Natural Resources and Environment,Forest Service,Urban and Community Forestry Assistance Program,Grants for tree planting and related activities.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,USDA,Natural Resources and Environment,Forest Service,Vegetation and Watershed Management,"The Vegetation and Watershed Management program ensures the productive and sustainable use of National Forest System lands by improving the condition and health of forest and rangeland vegetation, controlling the spread of invasive species, sustaining soil productivity, reducing the risk of severe flooding and erosion in areas affected by severe fire, and maintaining water quality.",28683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,USDA,Natural Resources and Environment,Forest Service,Vegetation and Watershed Management,Aims to enhance ecological integrity and restoration as prescribed in a Water Source Protection Plan or Watershed Restoration Action Plan.,28683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,USDA,Natural Resources and Environment,Forest Service,Volunteer Fire Assistance,"Provides technical and financial assistance to eligible local volunteer fire departments that protect communities with populations of 10,000 or fewer. There are over 24,000 rural and predominantly volunteer fire departments nationwide.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,USDA,Natural Resources and Environment,Forest Service,Wildfire Detection and Monitoring Equipment,"Provides funding for the procurement and placement of wildfire detection and real-time monitoring equipment, such as sensors, cameras, and other relevant equipment, in areas at risk of wildfire or post-burned areas.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,USDA,Natural Resources and Environment,Forest Service,Wildlife and Fisheries Habitat Management,"The Wildlife and Fisheries Habitat Management program maintains ecological conditions needed to maintain the diversity, viability, and productivity of plant and animal communities and reforestation and revegetation efforts in support of ecological restoration and post-wildfire recovery.",20727,20727,0,0,0,0,0,20727,0,0,0,0,0,0,20727,0,0,0,20727,20727,0,0,0,0,20727,0,0
Y,2021,USDA,Natural Resources and Environment,Forest Service,Wood Innovations Grant Program,"Grants for wood innovation, including in mass timber, renewable wood energy, and technological development that supports hazardous fuel reduction and sustainable forest management.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,USDA,"Research, Education and Economics",National Institute of Food and Agriculture,Bioproduct Pilot Program,"Support the scale-up of sustainable bioproduct manufacturing, with the goal of providing a low-cost alternative to conventional products, and NIFA is accepting bioproducts research proposals that explore GHG emission reductions and other environmental benefits relative to their commonly used alternative materials.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,USDA,"Research, Education and Economics",National Institute of Food and Agriculture,"Cultivating the Next Generation of Diverse Food and
Agriculture Professionals Program (NEXTGEN)","Support the next generation of the food, agriculture, natural resources, and human sciences (FANH) workforce.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,USDA,Farm Production and Conservation,Natural Resources Conservation Service,Agricultural Conservation Easement Program (ACEP),"Helps landowners, land trusts, and other entities protect, restore, and enhance wetlands or protect working farms and ranches through conservation easements.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,USDA,Farm Production and Conservation,Natural Resources Conservation Service,Conservation Operations,The Conservation Operations program provides loans which allow farming operations access to credit to implement conservation programs to conserve soil and water and control agricultural related pollutants.,832727,832727,0,0,0,832727,0,0,0,0,0,0,0,416363.5,416363.5,0,0,0,832727,832727,0,0,0,0,832727,0,0
Y,2021,USDA,Farm Production and Conservation,Natural Resources Conservation Service,Conservation Stewardship Program (CSP),Offers technical and financial assistance to compensate agricultural and forest producers who agree to increase their level of conservation by adopting additional conservation activities and maintaining their baseline level of conservation.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,USDA,Farm Production and Conservation,Natural Resources Conservation Service,Conservation Technical Assistance,"Helps land managers develop comprehensive conservation plans that include activities that reduce soil loss from erosion; address soil, water quality, water conservation, air quality, and agricultural waste management concerns; reduce potential damage caused by excess water and sedimentation or drought; enhance the quality of fish and wildlife habitat; improve the long-term sustainability of all private lands, including cropland, forestland, grazing lands, coastal lands, and developed or developing lands; and facilitate changes in land use as needed for natural resource protection and sustainability.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,USDA,Farm Production and Conservation,Natural Resources Conservation Service,Conservation Technical Assistance,"Greenhouse Gas Inventory and Assessment: Aims to quantify carbon sequestration and carbon dioxide, methane, and nitrous oxide emissions, through which the Natural Resources Conservation Service shall collect field-based data to assess carbon sequestration and reductions.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,USDA,Farm Production and Conservation,Natural Resources Conservation Service,Emergency Watershed Protection Program,"Implements recovery measures for watershed emergencies created by floods, wildfires, windstorms, and other natural occurrences that threaten life and property.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,USDA,Farm Production and Conservation,Natural Resources Conservation Service,Environmental Quality Incentives Program (EQIP),"Provides technical and financial assistance to producers to address natural resource concerns and deliver environmental benefits such as improved water and air quality, conserved ground and surface water, increased soil health and reduced soil erosion and sedimentation, improved or new wildlife habitat, and mitigation against drought and increasing weather volatility.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,USDA,Farm Production and Conservation,Natural Resources Conservation Service,Environmental Quality Incentives Program (EQIP),"Provides technical and financial assistance to producers to address natural resource  concerns and deliver environmental benefits such as improved water and air quality, conserved ground and surface water, increased soil health and reduced soil erosion and sedimentation, improved or new wildlife habitat, and mitigation against drought and increasing weather volatility.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,USDA,Farm Production and Conservation,Natural Resources Conservation Service,Farm Security and Rural Investment Programs,"The Farm Security and Rural Investment Programs include the Agricultural Conservation Easement Program, Agricultural Management Assistance, Agricultural Water Enhancement Program, Chesapeake Bay Watershed Program, Conservation Stewardship Program, Environmental Quality Incentives Program, Conservation Innovation Grants, Farm and Ranch Lands Protection Program, Grassland Reserve Program, Healthy Forests Reserve Program, Regional Conservation Partnership Program, Voluntary Public Access and Habitat Incentive Program, Wetlands Reserve Program, Wetlands Mitigation Banking Program, Wildlife Habitat Incentive Program, Feral Swine Eradication and Control Pilot Program, and Office of Urban Agriculture and Innovative Production.",12000,12000,0,0,0,6000,0,6000,0,0,0,0,0,6000,6000,0,3999.6,3999.6,3999.6,12000,0,0,0,0,12000,0,0
Y,2021,USDA,Farm Production and Conservation,Natural Resources Conservation Service,Regional Conservation Partnership Program (RCPP),Supports a partner-driven approach to conservation that funds solutions to natural resource challenges on agricultural land by leveraging collective resources and collaborating to implement natural resource conservation activities.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,USDA,Farm Production and Conservation,Natural Resources Conservation Service,Water Bank Program,Purposes include: 1) preserving and improving major wetlands as habitat for migratory waterfowl and other wildlife; 2) conserving surface waters; 3) reducing soil and wind erosion; 4) contributing to flood control; 5) improving water quality; 6) improving subsurface moisture; and 7) enhancing the natural beauty of the landscape.,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,USDA,Farm Production and Conservation,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,"Provide technical and financial assistance to State and local governments and Tribes for planning and installing watershed projects. Includes the Flood Prevention Operations Program and the Watershed Protection and Flood Prevention Program. The Flood Control Act authorizes the Secretary of Agriculture to install watershed improvement measures in 11 watersheds to reduce flood, sedimentation, and erosion damage; improve the conservation, development, utilization, and disposal of water; and advance the conservation and proper utilization of land. Working in cooperation with soil conservation districts and other local sponsoring organizations, the agency prepares detailed sub-watershed plans that outline soil and water management problems and proposals to alleviate the problems. Proposals can include estimated benefits and costs, cost-sharing arrangements, and operation and maintenance arrangements. Watershed and Flood Prevention Operations The Watershed Protection and Flood Prevention Act provides for cooperation between the Federal Government and the States and their political subdivisions in a program to prevent erosion, floodwater, and sediment damage; to further the conservation, development, utilization, and disposal of water; and to further the conservation and proper
utilization of land in authorized watersheds.",225000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,USDA,Farm Production and Conservation,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,"Provides technical and financial assistance for planning and installing watershed projects. Projects are aimed to to prevent erosion, floodwater, and sediment damage; to further the conservation, development, utilization, and disposal of water; and to further the conservation and proper utilization of land in authorized watersheds.",225000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,USDA,Farm Production and Conservation,Natural Resources Conservation Service,Watershed Rehabilitation,"Address public health and safety concerns, and environmental impacts of aging dams. The amendment allowed the agency to provide technical and financial assistance for the planning, design, and implementation of rehabilitation projects that may include upgrading or removing dams past their useful life. The purpose of the Watershed Rehabilitation Program is to extend the service life of dams and bring them into compliance with applicable safety and performance standards, or to decommission the dams so they no longer pose a threat to life and property.",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,USDA,Farm Production and Conservation,Natural Resources Conservation Service,Watershed Rehabilitation,"Aims to to extend the service life of dams and bring them into compliance with applicable safety and performance standards, or to decommission the dams so they no longer pose a threat to life and property.",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,USDA,Rural Development,Rural Business Cooperative Service,Bioenergy Program for Advanced Biofuels,Makes payments to producers to support and ensure an expanding production of advanced biofuels.,6601,6601,0,0,0,6601,0,0,0,0,0,6601,0,0,0,0,0,0,6601,6601,0,0,0,0,6601,0,0
Y,2021,USDA,Rural Development,Rural Business Cooperative Service,Higher Blend Infrastructure Incentive Program,Increase the sales and use of higher blends of ethanol and biodiesel by expanding the infrastructure for renewable fuels derived from U.S. agricultural products.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,USDA,Rural Development,Rural Business Cooperative Service,Higher Blend Infrastructure Incentive Program,Provides incentives to expand the infrastructure for renewable fuels derived from U.S. agricultural products.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,USDA,Rural Development,Rural Business Cooperative Service,Rural Energy for America Program,"Help farmers, ranchers and rural small businesses purchase and install renewable energy systems and make energy efficiency improvements.",57542,57542,0,0,0,28771,28771,0,28771,28771,0,0,0,0,0,0,0,0,57542,57542,0,0,0,0,57542,0,0
Y,2021,USDA,Rural Development,Rural Business Cooperative Service,Rural Energy for America Program,Provides guaranteed loan financing to agricultural producers and rural small businesses for renewable energy systems or to make energy efficiency improvements.,57542,57542,0,0,0,28771,28771,0,28771,28771,0,0,0,0,0,0,0,0,57542,57542,0,0,0,0,57542,0,0
Y,2021,USDA,Rural Development,Rural Business Cooperative Service,Rural Energy for America Program,Underutilized Renewable Energy Technologies: Provides guaranteed loan financing and grant funding to agricultural producers and rural small businesses for underutilized renewable energy technologies.,57542,57542,0,0,0,28771,28771,0,28771,28771,0,0,0,0,0,0,0,0,57542,57542,0,0,0,0,57542,0,0
Y,2021,USDA,Rural Development,Rural Utilities Service,Electric Loans for Renewable Energy,"Finances the construction of electric distribution, transmission, and generation facilities, including system improvements and replacements required to furnish and improve electric service in rural areas, as well as demand side management, energy conservation programs, and on-grid and off-grid renewable energy systems.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,USDA,Rural Development,Rural Utilities Service,Rural Energy Savings Program,Provides loans to rural utilities and other companies who provide energy efficiency loans to qualified consumers to implement durable cost-effective energy efficiency measures.,11000,11000,11000,0,0,0,0,0,11000,0,0,0,0,0,0,0,0,0,11000,11000,0,0,0,0,11000,0,0
Y,2021,USDA,Rural Development,Rural Utilities Service,"Rural Reconnectivity Program (Distance Learning, Telemedicine, And Broadband Program)",Facilitate broadband deployment in areas of rural America that do not currently have sufficient access to broadband.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,USDA,Natural Resources and Environment,Rural Utilities Service,State Fire Assistance,Helps State agencies create more fire-adapted communities and resilient landscapes by implementing pre-fire prevention and mitigation programs. The program funds important training for safer initial attack responses to wildfire.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,USDA,Rural Development,Rural Utilities Service,USDA Assistance for Rural Electric Cooperatives,"Provides electric service to more than 90 percent of the Nation’s counties that are identified as suffering from persistent poverty, out-migration, or other economic hardships. Includes funding for the purchase of renewable energy, renewable energy systems, zero-emission systems, and carbon capture and storage systems, to deploy such systems, or to make energy efficiency improvements to electric generation and transmission systems of the eligible entity. 
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,USDA,Rural Development,Rural Utilities Service,Water and Environmental Program,"Financing to develop and support modern, affordable water and waste disposal (WWD) services in rural areas. With a focus on underserved communities, WEP directs its technical and financial resources to rural communities with the greatest need, including rural water and waste systems in areas that are poverty-stricken and face health or sanitary issues, or have other obstacles hindering their ability to provide safe and reliable services. These communities may be impoverished because of out-migration, economic factors, or even natural disasters, but can help sustain economic development and improve the quality of life for their residents by providing dependable water and waste services. WEP provides funding for clean and reliable drinking water systems, sanitary sewage disposal, sanitary solid waste disposal, and storm water drainage to households and businesses in eligible rural areas with populations of 10,000 or less.",626567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,USDA,Office of the Secretary,"USDA Assistance and Support for Underserved Farmers, Ranchers,
Foresters: Technical and Other Assistance","USDA Assistance and Support for Underserved Farmers, Ranchers,
Foresters: Technical and Other Assistance","Technical assistance on issues concerning food, agriculture, agricultural credit, agricultural extension, rural development, or nutrition to underserved farmers, ranchers, or forest landowners",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2022,DOE,Loan Programs Office,Title 17 Innovative Technology Loan Guarantee Program,Title 17 Innovative Technology Loan Guarantee Program,"Accelerates the deployment of innovative projects to help launch new clean energy markets, reduce greenhouse gas emissions, and drive American economic growth by providing flexible, custom financing and access to debt capital that helps to meet the specific needs of individual borrowers.",32000,32000,32000,0,0,0,0,0,10667,10667,10667,0,0,0,0,0,0,0,32000,0,0,0,32000,0,32000,0,0
Y,2022,DOE,Fossil Energy and Carbon Management,"Carbon Capture, Utilization and Storage and Power Systems",Carbon Capture,Focues on RDD&D on post-combustion and pre-combustion CO2 capture.,99000,99000,49500,0,49500,0,0,0,0,0,0,0,99000,0,0,0,49308.80649,45867.32329,3823.87022,0,0,0,99000,0,99000,0,0
Y,2022,DOE,Fossil Energy and Carbon Management,"Carbon Capture, Utilization and Storage and Power Systems",Carbon Storage,Focuses on the development of technologies for the safe and secure geologic storage of captured carbon dioxide (CO2).,97000,97000,48500,0,48500,0,0,0,0,0,0,0,97000,0,0,0,32333.33333,32333.33333,32333.33333,0,0,0,97000,0,97000,0,0
Y,2022,DOE,Fossil Energy and Carbon Management,"Carbon Capture, Utilization and Storage and Power Systems",Advanced Energy and Hydrogen Systems,"Improves overall system efficiency, reducing capital and operating costs, hydrogen production and use, and enabling affordable carbon capture.",94000,94000,31330.2,31330.2,31330.2,0,0,0,31330.2,0,0,31330.2,31330.2,0,0,0,31330.2,31330.2,31330.2,0,0,0,94000,0,94000,0,0
Y,2022,DOE,Fossil Energy and Carbon Management,"Carbon Capture, Utilization and Storage and Power Systems",Crosscutting Research,"Supports innovative early stage RDD&D for improving reliability, availability, efficiency, and environmental performance of power technologies.",33000,33000,16500,0,16500,0,0,0,10998.9,10998.9,0,0,10998.9,0,0,0,11000,11000,11000,0,0,0,33000,0,33000,0,0
Y,2022,DOE,Fossil Energy and Carbon Management,"Carbon Capture, Utilization and Storage and Power Systems",Carbon Dioxide Removal,"Funds research in direct air capture, bioenergy with carbon capture and storage, and mineralization, terrestrial carbon removal and sequestration and coastal blue carbon.",49000,49000,0,0,0,24500,0,24500,0,0,0,0,24500,0,24500,0,16333,16333,16333,0,0,0,49000,0,49000,0,0
Y,2022,DOE,Fossil Energy and Carbon Management,"Carbon Capture, Utilization and Storage and Power Systems",Carbon Utilization,"Focuses on novel approaches to recycle carbon oxide (CO) emissions, principally CO2, into value-added products such as chemicals, fuels, and building products.",29000,29000,14500,0,14500,0,0,0,0,0,0,0,29000,0,0,0,9666.666667,9666.666667,9666.666667,0,0,0,29000,0,29000,0,0
Y,2022,DOE,Fossil Energy and Carbon Management,"Carbon Capture, Utilization and Storage and Power Systems",Mineral Sustainability,"Supports domestic supply chain networks required for the economically, environmentally, and geopolitically sustainable production of critical minerals (CM).",53000,44000,11000,11000,11000,0,11000,0,0,0,0,0,0,0,0,44000,14667,14667,14667,0,0,0,44000,0,44000,0,0
Y,2022,DOE,Fossil Energy and Carbon Management,Natural Gas Technologies,Natural Gas Technologies,Addresses the critical environmental and safety issues associated with the production and transmission of domestic natural gas.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2022,DOE,Fossil Energy and Carbon Management,"Carbon Capture, Utilization and Storage and Power Systems",Supercritical Transformational Electric Power (STEP),"Focuses on RDD&D in higher efficiency, lower cost technologies that use supercritical CO2 to power cycles.",15000,15000,15000,0,0,0,0,0,15000,0,0,0,0,0,0,0,5000,5000,5000,0,0,0,15000,0,15000,0,0
Y,2022,DOE,Fossil Energy and Carbon Management,"Carbon Capture, Utilization and Storage and Power Systems",Transformational Coal Pilots,Funds two large-scale pilots that focus on transformational coal technologies with increased efficiency from thermodynamic improvements in energy conversion and heat transfer.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2022,DOE,Science,Basic Energy Science,Basic Energy Sciences,"Supports fundamental research to understand, predict, and ultimately control matter and energy at the electronic, atomic, and molecular levels. BES research provides the foundations to develop new clean energy technologies, to mitigate the climate and environmental impacts of energy generation/use, and to support DOE missions in energy, environment, and national security.",2308000,2308000,384743.6,384743.6,384743.6,384743.6,384743.6,384743.6,769256.4,769256.4,769256.4,0,0,0,0,0,2308000,0,0,0,0,0,2308000,0,2308000,0,0
Y,2022,DOE,Science,Biological and Environmental Research,Biological and Environmental Research,"Supports transformative science and scientific user facilities to achieve a predictive understanding of complex biological, Earth, and environmental systems for clean energy and climate innovation.",815000,815000,815000,0,0,0,0,0,0,203750,0,203750,45584.96982,0,203750,158165.0302,815000,0,0,0,0,0,815000,0,815000,0,0
Y,2022,DOE,Science,Fusion Energy Sciences,Fusion Energy Sciences,"Builds the scientific foundation needed to develop a fusion energy source which is carbon-free, inherently safe, does not produce radioactive waste, and is virtually inexhaustible.",713000,713000,713000,0,0,0,0,0,0,713000,0,0,0,0,0,0,713000,0,0,0,0,0,713000,0,713000,0,0
Y,2022,DOE,Electricity,Transmission Reliability and Resilience,Transmission Reliability and Resilience,Focuses on developing transmission system tools and data analytics to inform planning and operational decisions that maintain and improve system reliability while accelerating the integration of renewable energy for the electricity industry.,26000,26000,26000,0,0,0,0,0,0,26000,0,0,0,0,0,0,26000,0,0,0,0,0,26000,0,26000,0,0
Y,2022,DOE,Electricity,Grid Controls and Communications,Resilient Distribution Systems,"Focuses on developing transformative technologies, tools, and techniques to enable industry to modernize electricity distribution.",55000,55000,55000,0,0,0,0,0,0,27500,27500,0,0,0,0,0,55000,0,0,0,0,0,55000,0,55000,0,0
Y,2022,DOE,Electricity,"Grid Hardware, Components, and Systems",Energy Storage,"Leads a national effort to ensure a more flexible, resilient, and equitable North American power grid through increased deployment of bi-directional electrical energy storage.",120000,120000,120000,0,0,0,0,0,0,120000,0,0,0,0,0,0,120000,0,0,0,0,0,120000,0,120000,0,0
Y,2022,DOE,Electricity,"Grid Hardware, Components, and Systems",Transformer Resilience and Advanced Components,"Develops innovations for grid hardware carrying, controlling, and converting electricity for the purpose of achieving electric grid decarbonization goals, ensuring reliability and resilience, and modernizing the electric deilivery system to withstand the effects of climate change and support a changing mix of electricity generation.",11000,11000,11000,0,0,0,0,0,0,11000,0,0,0,0,0,0,11000,0,0,0,0,0,11000,0,11000,0,0
Y,2022,DOE,Electricity,Transmission Permitting and Technical Assistance Program,Transmission Permitting and Technical Assistance Program,"Supports activities with Federal, State, and industry partners to modernize the grid and ensure equitable and adequate transmission capacity across the United States to achieve 100% carbon-free electricity by 2035.",8000,8000,8000,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,8000,0,0,0,8000,0,8000,0,0
Y,2022,DOE,Nuclear Energy,"Reactor Concepts Research, Development and Demonstration (RD&D)",Reactor Concepts RD&D,"Supports conducting RD&D on existing and advanced reactor designs and technologies to enable industry to address technical and regulatory challenges associated with maintaining the existing fleet of nuclear reactors, promote the development of a robust pipeline of advanced reactor designs and technologies and associated supply chains, and progress these advanced reactor designs and technologies towards demonstration when deemed appropriate.",257000,257000,257000,0,0,0,0,0,0,257000,0,0,0,0,0,0,128500,128500,0,0,0,0,257000,0,257000,0,0
Y,2022,DOE,Nuclear Energy,Advanced Reactor Demonstration Program,Advanced Reactor Demonstration Program,Focuses Departmental and non-federal resources on supporting the development of advanced reactors that have the potential for near and mid-term demonstration and commercial deployment and addressing challenges hindering their deployment.,250000,250000,250000,0,0,0,0,0,0,250000,0,0,0,0,0,0,0,250000,0,0,0,0,250000,0,250000,0,0
Y,2022,DOE,Nuclear Energy,Fuel Cycle Research and Development,Fuel Cycle R&D,"Conducts applied research and development (R&D) on advanced fuel cycle technologies that have the potential to accelerate progress on managing and disposing of the nation’s spent fuel and high-level waste, improve resource utilization and energy generation, reduce waste generation, and limit proliferation risk.",320150,320150,320150,0,0,0,0,0,0,320150,0,0,0,0,0,0,320150,0,0,0,0,0,320150,0,320150,0,0
Y,2022,DOE,Nuclear Energy,Integrated University Program,Integrated University Program,"Engages U.S. colleges and universities to conduct research and development (R&D), enhance infrastructure, and support student education, thereby helping to sustain a world-class nuclear energy and workforce capability.",6000,6000,6000,0,0,0,0,0,0,6000,0,0,0,0,0,0,6000,0,0,0,0,0,6000,0,6000,0,0
Y,2022,DOE,Nuclear Energy,Nuclear Energy Enabling Technologies,Nuclear Energy Enabling Technologies,Conducts research and development (R&D) and makes strategic investments in research capabilities to develop innovative and crosscutting nuclear energy technologies to resolve nuclear technology development issues.,117000,117000,117000,0,0,0,0,0,0,117000,0,0,0,0,0,0,117000,0,0,0,0,0,117000,0,117000,0,0
Y,2022,DOE,Nuclear Energy,Versatile Test Reactor Project,Versatile Test Reactor Project,Supports reviving and expanding the nuclear sector in the U.S. by supporting the modernization of the U.S. infrastructure for early stage research and development (R&D).,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2022,DOE,Nuclear Energy,Supercritical Transformational Electric Power Research and Development (STEP R&D),Supercritical Transformational Electric Power Research and Development,Supports development and scale-up advanced Supercritical Carbon Dioxide (sCO2) Brayton cycle energy conversion technology to facilitate commercial development.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2022,DOE,Energy Efficiency and Renewable Energy,Sustainable Transportation,Vehicle Technologies,"Plays a leading role in decarbonizing the transportation sector and address the climate crisis by driving innovation and deploying clean transportation technologies, all while maintaining transportation service quality and safety.",420000,420000,0,420000,0,0,0,0,0,0,420000,0,0,0,0,0,139986,139986,139986,0,0,0,420000,0,420000,0,0
Y,2022,DOE,Energy Efficiency and Renewable Energy,Sustainable Transportation,Bioenergy Technologies,"Conducts research, development, and demonstration activities (RD&D) to enable a diverse supply of renewable waste streams and biomass as well as cost-effective conversion technologies nationwide emphasizing later stage demonstration to accelerate deployment of biofuels and bioproducts.",262000,262000,0,131000,131000,0,0,0,0,0,0,262000,0,0,0,0,148333,56833,56833,0,0,0,262000,0,262000,0,0
Y,2022,DOE,Energy Efficiency and Renewable Energy,Sustainable Transportation,Hydrogen and Fuel Cell Technologies,"Drives the research, development, demonstration, and deployment (RDD&D) of innovative technologies to facilitate widespread adoption of clean hydrogen and fuel cell technologies across sectors.",497500,497500,152499,192499,152499,0,0,0,0,0,40000,457500,0,0,0,0,239161,139161,119161,0,0,340000,157500,0,157500,340000,0
Y,2022,DOE,Energy Efficiency and Renewable Energy,Renewable Energy,Solar Energy Technologies,"Accelerates the development and deployment of solar technologies while supporting the reliability, resilience, and security of the U.S. electric grid and solar supply chain, as well as the Administration’s goal to reach a carbon pollution-free electricity sector by 2035, supported by good-paying, green jobs.",312000,312000,312000,0,0,0,0,0,0,312000,0,0,0,0,0,0,101667,104167,106167,0,0,22000,290000,0,290000,22000,0
Y,2022,DOE,Energy Efficiency and Renewable Energy,Renewable Energy,Wind Energy Technologies,"Executes a comprehensive RDD&D plan to accelerate offshore wind and land-based wind energy innovation, cost reduction, and deployment, including on federal lands and at federal facilities.",139000,139000,139000,0,0,0,0,0,0,139000,0,0,0,0,0,0,46329,46329,46329,0,0,25000,114000,0,114000,25000,0
